,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,V1_Vehicle,V2_Driver_,Pedalcycli,Pedestrian,Motorcycli,V1_Type
8913,2.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.16166666666667,2.00210514930051,0.0,0.0,0.0,,,,,,
8914,2.0,6.0,0.0,0.0,0.0399999999999999,3.0,3.0,0.0,2.0,1.09166666666667,2.0,2.0,1.0,0.0,,,,,,
8915,1.0,1.0,4.0,1.20123768025729,0.0,1.0,3.0,4.0,2.0,1.04,2.07461850150142,0.0,0.0,7.0,,,,,,
8916,2.0,6.0,3.0,17.0,0.0,2.0,3.0,3.0,2.0,1.07,2.0,2.0,1.0,7.0,,,,,,
8917,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.22666666666667,1.0,2.0,1.0,0.0,,,,,,
8918,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,3.0,1.04,2.03825577605419,0.0,0.0,4.0,,,,,,
8919,0.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.135,2.01246461931856,0.0,0.0,0.0,,,,,,
8920,2.0,3.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,1.09666666666667,2.0724663582032,0.0,0.0,4.0,,,,,,
8921,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.09666666666667,2.10944810565424,0.0,0.0,0.0,,,,,,
8922,2.0,3.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,1.03,2.14975609756098,0.0,0.0,4.0,,,,,,
8923,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,2.0,1.04,1.0,2.0,1.0,4.0,,,,,,
8924,0.0,3.0,3.0,0.0,0.0,0.0,12.0,3.0,3.0,1.04,2.0,1.0,1.0,4.0,,,,,,
8925,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.17,2.0,1.0,1.0,0.0,,,,,,
8926,2.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.205,1.0,1.0,1.0,0.0,,,,,,
8927,3.0,13.0,1.0,0.0,0.0099999999999999,1.57280124223602,6.23396835922698,0.0,1.0,1.01,1.0,1.0,1.0,3.0,,,,,,
8928,2.0,15.0,2.0,0.0,0.0,1.0,13.0,2.0,2.0,1.165,1.9950876216297,0.0,0.0,0.0,,,,,,
8929,1.0,15.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,1.1225,2.0,1.0,1.0,0.0,,,,,,
8930,2.0,1.0,4.0,0.0,0.0,2.0,3.0,4.0,2.0,1.02,2.11725778854288,0.0,0.0,7.0,,,,,,
8931,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.08,1.0,1.0,1.0,0.0,,,,,,
8932,3.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.06,2.0,2.0,1.0,0.0,,,,,,
8933,3.0,13.0,1.0,3.86152764035943,0.0399999999999999,1.83651387465609,7.59837179925338,0.0,1.0,1.0,1.84905594405594,0.0,0.0,3.0,,,,,,
8934,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,,,,,,
8935,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.03,2.0,1.0,1.0,4.0,,,,,,
