,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
Total_Vehi,0.019650821012576578,1.0698160779599552e-15,0.44974829260932264,3.0211356004746117e-27,1.806337390061907e-29,0.0,0.0,0.0,6.18077173253671e-67,0.0,0.0,2.0471479184888638e-123,0.5542976662431934,2.3148610494697205e-11,4.194639836815768e-14,6.982208582406258e-180,1.09931815167838e-53,5.952950741513444e-98,0.5586637985550338,0.05034997070241676
Fatalities,9.115071053412355e-56,9.977404117214423e-11,1.908319800311016e-11,3.741171419843296e-24,3.485783453286631e-103,0.0,2.1273141166445453e-168,4.528349831307892e-307,3.0691343579635953e-06,0.0,2.0471479184888638e-123,0.0,3.529318993340467e-112,1.040600289942503e-148,1.8384678527738106e-101,3.31864896388967e-310,2.4161534860240547e-10,3.316807541995977e-36,4.641750164845957e-06,0.004551729205440727
Injury_Typ,0.0015382900728872564,2.450573040239612e-15,3.955429918561792e-15,3.0246964809489004e-16,4.8748553797225125e-34,1.0021977851210234e-63,1.114633595918251e-23,1.0165144695601515e-44,2.3577017287046467e-23,3.126731607138327e-243,0.5542976662431934,3.529318993340467e-112,0.0,0.0,0.0,2.859260059159887e-108,4.9850828152763e-06,0.0002577066203000328,0.6498833297136934,0.0031055402319107098
Injured,1.0240357688609367e-11,7.522235850039881e-10,0.0032704848077951573,2.6463157801145547e-14,5.622389962297086e-45,1.693089953986363e-60,7.198093752177858e-13,2.6006978062108816e-54,7.755459492881976e-05,1.683030620845958e-242,2.3148610494697205e-11,1.040600289942503e-148,0.0,0.0,0.0,1.2351016957886125e-110,2.225458490507957e-07,9.416875154088857e-16,5.03569607408089e-11,7.968227153484894e-05
Property_D,5.498272643009815e-10,2.4459559514166864e-11,7.237960024696209e-05,2.7620732200330853e-10,5.164246866088437e-36,1.5275459181904555e-21,0.020472209926744186,1.5672910761284146e-21,0.0025626591918216576,5.13792498396899e-184,4.194639836815768e-14,1.8384678527738106e-101,0.0,0.0,0.0,3.2013937550567512e-83,3.682087027407863e-24,7.162138968574184e-51,1.0963777789313038e-33,0.020096785512344312
Crash_Type,0.9690613764446454,3.252533266114467e-189,8.143109100763537e-07,1.3243826918164687e-42,6.428535834876025e-97,0.0,0.0,5.912528087091365e-287,7.101682348016864e-64,0.0,6.982208582406258e-180,3.31864896388967e-310,2.859260059159887e-108,1.2351016957886125e-110,3.2013937550567512e-83,0.0,8.491557204065737e-09,1.0314841492376406e-44,0.003176870600014758,8.410565756414969e-09
Pedalcycli,0.00020012951117165834,0.02218597808786781,0.02710372155680822,0.09850925144826009,0.00040372326472586665,1.102799801196627e-89,1.7916459558180233e-70,4.0830573363738713e-63,2.4859663786739242e-21,1.5399067854836841e-59,1.09931815167838e-53,2.4161534860240547e-10,4.9850828152763e-06,2.225458490507957e-07,3.682087027407863e-24,8.491557204065737e-09,0.0,0.4398763392147307,0.12672687980177705,0.8647391969538357
Pedestrian,4.821850281409052e-13,0.24388685971388707,0.7737870635723626,0.21872756050937697,0.005738465988809381,8.649116207568029e-169,1.4092544792640785e-131,3.306688162673275e-114,6.613202233571372e-33,2.446517866051301e-109,5.952950741513444e-98,3.316807541995977e-36,0.0002577066203000328,9.416875154088857e-16,7.162138968574184e-51,1.0314841492376406e-44,0.4398763392147307,0.0,0.026235746769678336,0.07138612454091955
Motorcycli,0.11683462175031936,0.005927847289823094,0.037166618527828835,0.4139137869313982,0.303438631985523,0.00112563732095137,0.008052583174842939,0.8055175567034143,0.4991516076664436,0.9391598279566129,0.5586637985550338,4.641750164845957e-06,0.6498833297136934,5.03569607408089e-11,1.0963777789313038e-33,0.003176870600014758,0.12672687980177705,0.026235746769678336,0.0,5.498361103372671e-25
V1_Type,0.9394656681528778,0.2982319918562219,2.8911721090098102e-06,4.738054672399558e-20,4.883832819297731e-20,0.11626514960227154,0.5714104315267972,0.034677059591423455,1.0388431035685632e-05,0.0005529005794643353,0.05034997070241676,0.004551729205440727,0.0031055402319107098,7.968227153484894e-05,0.020096785512344312,8.410565756414969e-09,0.8647391969538357,0.07138612454091955,5.498361103372671e-25,0.0
