V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
E,GOING STRAIGHT,3,,FAILED TO YIELD RIGHT OF WAY: HIT AND RUN,APPARENTLY NORMAL,E,STOPPED,3,24,3,,,0,PDO,REAR-END,,,,
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,0,54,2,,,0,PDO,REAR-END,,,,PICKUP
E,NOT REPORTED,4,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,23,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,1,OTHER IMPROPER DRIVING,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,59,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"HATCHBACK, 2 DOOR"
S,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,3,50,2,,,0,PDO,REAR-END,,,,UTILITY
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,51,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,SEMI
N,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,1,55,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
S,UNKNOWN,4,,HIT AND RUN,APPARENTLY NORMAL,S,GOING STRAIGHT,4,27,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,TURNING LEFT,0,43,2,,,0,PDO,ANGLE,,,,STATION WAGON
