V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
W,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,W,STOPPED,2,53,3,,B,3,,REAR-END,,,,PICKUP
N,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,1,28,2,,B,1,,"SIDESWIPE, OVERTAKING",,,,MOPED
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,34,3,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,4,31,3,,C,4,,REAR-END,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,0,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,STOPPED,0,25,3,,C,1,,ANGLE,,,,CARRY-ALL
N,TURNING LEFT,0,OTHER IMPROPER DRIVING,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,45,3,,C,1,,ANGLE,,,,"SEDAN, 2 DOOR"
N,GOING STRAIGHT,0,,DRIVING TOO FAST FOR CONDITIONS: HIT AND RUN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
W,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,W,STOPPED,1,46,2,,,0,PDO,ANGLE,,,,UTILITY
E,GOING STRAIGHT,1,,HIT AND RUN: OBJECT AVOIDANCE,,E,STOPPED,1,22,2,,C,1,,REAR-END,,,,
E,GOING STRAIGHT,0,,HIT AND RUN,APPARENTLY NORMAL,E,STOPPED,0,59,2,,,0,PDO,ANGLE,,,,
S,CHANGING LANES,3,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,3,48,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,W,TURNING LEFT,0,52,2,,C,1,,ANGLE,,,,CARRY-ALL
S,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,,N,PASSING OTHER VEHICLE,0,27,2,,B,1,,ANGLE,,,YES,CARRY-ALL
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,46,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,GOING STRAIGHT,0,55,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,0,30,2,,C,4,,REAR-END,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,1,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,1,79,2,,,0,PDO,ANGLE,,,,STATION WAGON
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,40,2,,C,1,,ANGLE,,,,UTILITY
E,GOING STRAIGHT,3,INATTENTION/DISTRACTED,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,E,STOPPED,3,38,2,,C,1,,REAR-END,,,,PICKUP
W,GOING STRAIGHT,2,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,STOPPED,2,31,2,,C,1,,REAR-END,,,,CARRY-ALL
W,NOT REPORTED,1,INATTENTION/DISTRACTED,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,STOPPED,1,32,4,,B,2,,REAR-END,,,,"SEDAN, 4 DOOR"
W,TURNING RIGHT,0,HAD BEEN DRINKING,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,31,2,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,GOING STRAIGHT,0,24,2,,B,2,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,3,APPARENTLY NORMAL,,,,PARKED,3,32,3,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
W,CHANGING LANES,0,OTHER IMPROPER DRIVING,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,GOING STRAIGHT,0,53,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,,,,0,0,1,,B,1,,ANGLE,YES,,,PICKUP
S,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,0,60,3,,B,4,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,TURNING LEFT,0,40,2,,,0,PDO,ANGLE,,,,VAN
N,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,3,47,2,,,0,PDO,REAR-END,,,,CARRY-ALL
S,GOING STRAIGHT,0,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: HIT AND RUN",,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,CHANGING LANES,4,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,42,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 4 DOOR"
S,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,UNKNOWN,3,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,"HARDTOP, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,53,2,,C,3,,ANGLE,,,,CARRY-ALL
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,1,64,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,PICKUP
N,TURNING RIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,0,42,2,,,0,PDO,REAR-END,,,,CARRY-ALL
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,53,2,,C,1,,ANGLE,,,,"SEDAN, 2 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,"FAILED TO YIELD RIGHT OF WAY: DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,40,2,,C,1,,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
N,TURNING RIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,TURNING RIGHT,0,41,2,,C,2,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,0,25,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,30,2,,C,2,,ANGLE,,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",N,STOPPED,0,35,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,50,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,PICKUP
E,GOING STRAIGHT,1,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,E,STOPPED,1,20,2,,,0,PDO,REAR-END,,,,GARBAGE OR REFUSE
N,STOPPED,2,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,REAR-END,,,,CONVERTIBLE
E,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,STOPPED,1,40,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,TURNING RIGHT,3,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,3,33,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
W,TURNING RIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,2,,DRIVING TOO FAST FOR CONDITIONS: HIT AND RUN,APPARENTLY NORMAL,N,STOPPED,2,59,4,,,0,PDO,REAR-END,,,,
W,TURNING LEFT,0,HAD BEEN DRINKING,UNKNOWN,APPARENTLY NORMAL,E,GOING STRAIGHT,0,29,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,BACKING UP,1,APPARENTLY NORMAL,UNSAFE BACKING,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,PICKUP
N,TURNING LEFT,2,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY: MADE AN IMPROPER TURN,APPARENTLY NORMAL,S,GOING STRAIGHT,2,40,3,,B,4,,ANGLE,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,35,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,,HIT AND RUN,,,PARKED,1,0,2,,,0,PDO,REAR-END,,,,CARRY-ALL
N,GOING STRAIGHT,3,OTHER IMPROPER DRIVING,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,3,36,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,GOING STRAIGHT,0,30,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,OTHER IMPROPER DRIVING,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,0,30,2,,,0,PDO,ANGLE,,,,MOPED
N,GOING STRAIGHT,3,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,3,47,2,,,0,PDO,REAR-END,,,,"SEDAN, 2 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,WRONG SIDE OR WRONG WAY: DROVE LEFT OF CENTER: HIT AND RUN,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,STATION WAGON
N,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,3,21,2,,,0,PDO,REAR-END,,,,SEMI
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,4,34,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,TURNING RIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,CARRY-ALL
S,GOING STRAIGHT,0,APPARENTLY NORMAL,"FAILED TO YIELD RIGHT OF WAY: DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,0,31,2,,B,3,,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,S,GOING STRAIGHT,0,53,2,,,0,PDO,REAR-END,,,,"SEDAN, 2 DOOR"
,TURNING LEFT,0,,,,,PARKED,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,33,2,,B,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,CHANGING LANES,3,,HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,3,20,2,,C,1,,ANGLE,,,,
S,GOING STRAIGHT,0,APPARENTLY NORMAL,MECHANICAL DEFECTS: ROAD DEFECT,,,,0,0,1,,B,1,,NON-COLLISION,,,,CARRY-ALL
E,BACKING UP,0,,HIT AND RUN,APPARENTLY NORMAL,E,STOPPED,0,24,2,,,0,PDO,BACKING,,,,CARRY-ALL
S,GOING STRAIGHT,2,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,58,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,1,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,1,21,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,3,,HIT AND RUN,APPARENTLY NORMAL,E,GOING STRAIGHT,3,41,2,,,0,PDO,REAR-END,,,,
E,GOING STRAIGHT,0,,HIT AND RUN,APPARENTLY NORMAL,E,STOPPED,0,28,2,,,0,PDO,REAR-END,,,,
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,4,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
S,GOING STRAIGHT,2,,UNKNOWN,,S,GOING STRAIGHT,2,30,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,UNKNOWN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,,UNKNOWN,,N,STOPPED,0,19,2,,C,1,,REAR-END,,,,CARRY-ALL
S,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,GOING STRAIGHT,3,19,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,DRUG INVOLVEMENT,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,PARKED,0,0,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
W,NOT REPORTED,1,OTHER IMPROPER DRIVING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,W,GOING STRAIGHT,1,19,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,3,OTHER IMPROPER DRIVING,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,STOPPED,3,51,2,,C,1,,REAR-END,,,,CARRY-ALL
N,GOING STRAIGHT,1,,UNKNOWN,,N,GOING STRAIGHT,1,25,2,,,0,PDO,REAR-END,,,,CARRY-ALL
S,CHANGING LANES,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,VAN
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,36,2,,,0,PDO,REAR-END,,,,"SEDAN, 2 DOOR"
S,CHANGING LANES,1,,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,37,2,,C,2,,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
E,GOING STRAIGHT,0,HAD BEEN DRINKING,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: EXCEEDED AUTHORIZED SPEED LIMIT",APPARENTLY NORMAL,S,GOING STRAIGHT,0,17,3,,A,3,,ANGLE,,,,"SEDAN, 2 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,,C,1,,NON-COLLISION,YES,,,CARRY-ALL
S,NOT REPORTED,0,,HIT AND RUN,,,,0,0,1,,,0,PDO,ANGLE,,,,PICKUP
N,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,1,17,2,,,0,PDO,REAR-END,,,,"HARDTOP, 2 DOOR"
W,GOING STRAIGHT,2,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,E,STOPPED,2,60,3,,B,2,,REAR-END,,,,"SEDAN, 4 DOOR"
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,32,2,,B,1,,ANGLE,,,,PICKUP
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,CARRY-ALL
W,GOING STRAIGHT,1,APPARENTLY NORMAL,,,,,0,0,1,,C,1,,ANGLE,YES,,,CARRY-ALL
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,52,2,,C,1,,ANGLE,,,,CARRY-ALL
W,TURNING LEFT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: HIT AND RUN,APPARENTLY NORMAL,W,STOPPED,0,25,2,,,0,PDO,REAR-END,,,,"SEDAN, 2 DOOR"
N,UNKNOWN,0,,HIT AND RUN,,,PARKED,0,0,2,,,0,PDO,ANGLE,,,,PICKUP
E,NOT REPORTED,3,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,CHANGING LANES,3,61,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,,UNKNOWN,,,,0,0,1,1.0,K,0,,NON-COLLISION,,,YES,MULTI-WHEEL
N,GOING STRAIGHT,0,,FOLLOWED TOO CLOSELY: HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,5,39,2,,,0,PDO,REAR-END,,,,CARRY-ALL
S,GOING STRAIGHT,0,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,,APPARENTLY NORMAL,S,STOPPED,0,60,2,,C,2,,REAR-END,,,,"SEDAN, 2 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,E,GOING STRAIGHT,0,18,2,,B,3,,ANGLE,,,,"SEDAN, 4 DOOR"
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,CARRY-ALL
N,CHANGING LANES,4,,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,35,2,,,0,PDO,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,1,,HIT AND RUN: UNKNOWN,,,,0,0,1,,B,1,,NON-COLLISION,,YES,,PICKUP
N,GOING STRAIGHT,3,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,N,STOPPED,3,59,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,BUS
E,GOING STRAIGHT,0,,HIT AND RUN,,,,0,0,1,,,0,PDO,ANGLE,,,,"HARDTOP, 2 DOOR"
W,GOING STRAIGHT,2,,HIT AND RUN,APPARENTLY NORMAL,W,STOPPED,2,48,2,,C,1,,REAR-END,,,,
S,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,TURNING RIGHT,3,24,2,,C,2,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,OTHER IMPROPER DRIVING,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,1,24,2,,B,1,,REAR-END,,,YES,"HATCHBACK, 4 DOOR"
S,CHANGING LANES,1,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,,E,GOING STRAIGHT,1,35,2,,B,1,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,3,HAD BEEN DRINKING,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,3,34,2,,C,4,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,1,55,2,,C,1,,REAR-END,,,,"HATCHBACK, 4 DOOR"
S,RACING,0,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: HIT AND RUN",,,PARKED,0,0,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 2 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,0,54,2,,B,2,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,28,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,PARKED,0,0,2,,C,1,,REAR-END,,,,SEDAN
E,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,E,STOPPED,0,70,2,,C,1,,REAR-END,,,,PICKUP
S,GOING STRAIGHT,0,OTHER IMPROPER DRIVING,EXCEEDED AUTHORIZED SPEED LIMIT,,,,0,0,1,,A,1,,NON-COLLISION,,,,"SEDAN, 2 DOOR"
W,GOING STRAIGHT,1,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,W,GOING STRAIGHT,1,46,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
,GOING STRAIGHT,0,,,APPARENTLY NORMAL,W,GOING STRAIGHT,0,62,2,,,0,PDO,ANGLE,,,,
S,NOT REPORTED,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,2,48,2,,,0,PDO,ANGLE,,,,VAN
W,GOING STRAIGHT,2,,,APPARENTLY NORMAL,W,STOPPED,2,27,3,,C,1,,REAR-END,,,,"HARDTOP, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,49,3,,C,4,,ANGLE,,,,"SEDAN, 4 DOOR"
E,TURNING RIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,STOPPED,0,61,2,,,0,PDO,REAR-END,,,,CONVERTIBLE
W,TURNING LEFT,1,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,,,,0,0,1,,,0,PDO,ANGLE,YES,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,TURNING LEFT,0,39,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 2 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,0,36,2,,,0,PDO,REAR-END,,,,PICKUP
N,GOING STRAIGHT,2,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,2,25,3,,C,1,,REAR-END,,,,PICKUP
N,GOING STRAIGHT,2,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,2,26,2,,,0,PDO,ANGLE,,,,PICKUP
